total_activities,absences,low_scores,high_scores,risk_index
10,3,5,5,0.7
10,4,4,6,0.49
10,6,6,4,0.8
10,3,1,9,0.11
10,2,2,8,0.16
10,1,3,7,0.32
10,6,4,6,0.6
10,5,5,5,0.7
10,3,2,8,0.3
10,2,1,9,0.1
10,3,2,7,0.2
10,4,3,7,0.4
10,5,4,6,0.65
10,6,5,5,0.8
10,7,2,8,0.13
10,1,1,9,0.05
10,2,0,10,0.08
10,3,1,9,0.1
10,4,3,7,0.34
10,1,4,6,0.35
10,0,5,5,0.6
10,1,2,8,0.21
10,2,1,9,0.14
10,3,5,5,0.54
10,4,4,6,0.49
10,1,3,7,0.25
10,2,8,2,0.8
10,3,1,9,0.12
10,4,7,3,0.8
5,1,1,4,0.04
5,2,2,3,0.5
5,1,3,2,0.35
5,0,1,4,0.09
5,1,3,2,0.4
5,2,4,1,0.75
5,3,4,1,0.9
5,1,5,0,0.95
5,2,5,0,1
5,4,1,4,0.9
5,0,3,2,0.2
5,1,2,3,0.33
5,2,2,3,0.4
5,3,4,1,0.6
5,0,3,2,0.39
5,1,1,4,0.15
5,2,2,3,0.4
5,3,2,3,0.35
5,4,1,4,0.25
5,1,4,0,0.8
5,1,4,1,0.7
5,0,5,0,1
3,0,2,1,0.4
3,1,3,0,0.5
3,0,0,3,0.05
3,0,2,1,0.3
3,1,0,3,0.25
3,0,3,0,0.65
3,0,1,2,0.4
3,1,1,2,0.5
3,0,3,0,0.7
3,0,2,1,0.6
3,1,3,0,0.7
3,1,1,2,0.35
3,0,0,3,0.1
